COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
INTEL CORP	COM	458140100	95361	2629184	SH		SOLE	2	287570	0	2341614
INTEL CORP	SDCV 12/1	458140AD2	334	247000	PRN		OTR		247000	0	0
INTEL CORP	SDCV 3.250% 8/0	458140AF7	27223	15440000	PRN		SOLE		15440000	0	0
INTELIQUENT INC	COM	45825N107	1032	45018	SH		SOLE		45018	0	0
INTELLIA THERAPEUTICS INC	COM	45826J105	33	2512	SH		SOLE		2512	0	0
INTELSAT S A	COM	L5140P101	25	9497	SH		SOLE		9497	0	0
INTER PARFUMS INC	COM	458334109	385	11752	SH		SOLE		11752	0	0
INTERACTIVE BROKERS GROUP IN	COM	45841N107	1336	36580	SH		SOLE		36580	0	0
INTERCEPT PHARMACEUTICALS IN	COM	45845P108	1102	10145	SH		SOLE		10145	0	0
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	26934	477376	SH		SOLE		464213	0	13163
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	17987	318803	SH		SOLE	2	0	0	318803
INTERDIGITAL INC	NOTE 1.500% 3/0	458660AD9	214	158000	PRN		OTR		158000	0	0
INTERDIGITAL INC	COM	45867G101	1670	18285	SH		SOLE		18285	0	0
INTERFACE INC	COM	458665304	628	33834	SH		SOLE		33834	0	0
INTERNAP CORP	COM PAR $.001	45885A300	14	9211	SH		SOLE		9211	0	0
INTERNATIONAL BANCSHARES COR	COM	459044103	6146	150647	SH		SOLE		150647	0	0
INTERNATIONAL BUSINESS MACHS	COM	459200101	12227	73662	SH		SOLE		73662	0	0
INTERNATIONAL BUSINESS MACHS	COM	459200101	78895	475299	SH		SOLE	2	0	0	475299
INTERNATIONAL FLAVORS&FRAGRA	COM	459506101	4205	35691	SH		SOLE		35691	0	0
INTERNATIONAL FLAVORS&FRAGRA	COM	459506101	7025	59624	SH		SOLE	2	0	0	59624
INTERNATIONAL GAME TECHNOLOG	SHS USD	G4863A108	1068	41856	SH		SOLE		41856	0	0
INTERNATIONAL SEAWAYS INC	COM	Y41053102	113	8080	SH		SOLE		8080	0	0
INTERNATIONAL SPEEDWAY CORP	CL A	460335201	488	13256	SH		SOLE		13256	0	0
INTERPUBLIC GROUP COS INC	COM	460690100	36209	1546725	SH		SOLE		1546725	0	0
INTERPUBLIC GROUP COS INC	COM	460690100	6647	283929	SH		SOLE	2	0	0	283929
INTERSECT ENT INC	COM	46071F103	182	15054	SH		SOLE		15054	0	0
INTERSIL CORP	CL A	46069S109	1642	73630	SH		SOLE		73630	0	0
INTERXION HOLDING N.V	SHS	N47279109	5488	156500	SH		SOLE		156500	0	0
INTEVAC INC	COM	461148108	47	5485	SH		SOLE		5485	0	0
INTL FCSTONE INC	COM	46116V105	328	8285	SH		SOLE		8285	0	0
INTL PAPER CO	COM	460146103	1146	21605	SH		OTR		0	21605	0
INTL PAPER CO	COM	460146103	242116	4563065	SH		SOLE		4563065	0	0
INTL PAPER CO	COM	460146103	9369	176579	SH		SOLE	2	0	0	176579
INTRA CELLULAR THERAPIES INC	COM	46116X101	4226	280031	SH		SOLE		280031	0	0
INTRA CELLULAR THERAPIES INC	COM	46116X101	106	7020	SH		SOLE	2	7020	0	0
INTRALINKS HLDGS INC	COM	46118H104	592	43764	SH		SOLE		43764	0	0
INTRAWEST RESORTS HLDGS INC	COM	46090K109	207	11616	SH		SOLE		11616	0	0
INTREPID POTASH INC	COM	46121Y102	18	8477	SH		SOLE		8477	0	0
INTREXON CORP	COM	46122T102	854	35142	SH		SOLE		35142	0	0
INTRICON CORP	COM	46121H109	19	2740	SH		SOLE		2740	0	0
INTUIT	COM	461202103	91118	795023	SH		SOLE		795023	0	0
INTUIT	COM	461202103	18001	157066	SH		SOLE	2	0	0	157066
INTUITIVE SURGICAL INC	COM NEW	46120E602	99715	157237	SH		SOLE		157237	0	0
INTUITIVE SURGICAL INC	COM NEW	46120E602	15806	24924	SH		SOLE	2	0	0	24924
INVACARE CORP	COM	461203101	14717	1127718	SH		SOLE		1127718	0	0
INVACARE CORP	COM	461203101	156	11940	SH		SOLE	2	0	0	11940
INVENSENSE INC	COM	46123D205	5763	450573	SH		SOLE		450573	0	0
INVENTURE FOODS INC	COM	461212102	74	7489	SH		SOLE		7489	0	0
INVESCO DYNAMIC CR OPP FD	COM	46132R104	197	15994	SH		OTR		15994	0	0
INVESCO LTD	SHS	G491BT108	145876	4808035	SH		SOLE		4808035	0	0
INVESCO LTD	SHS	G491BT108	6892	227164	SH		SOLE	2	0	0	227164
INVESCO MORTGAGE CAPITAL INC	COM	46131B100	893	61168	SH		SOLE		61168	0	0
INVESCO SR INCOME TR	COM	46131H107	91	19668	SH		OTR		19668	0	0
INVESCO SR INCOME TR	COM	46131H107	2243	483380	SH		SOLE		483380	0	0
INVESTMENT TECHNOLOGY GRP NE	COM	46145F105	306	15524	SH		SOLE		15524	0	0
INVESTORS BANCORP INC NEW	COM	46146L101	2193	157187	SH		SOLE		157187	0	0
INVESTORS REAL ESTATE TR	SH BEN INT	461730103	1061	148773	SH		SOLE		148773	0	0
INVESTORS TITLE CO	COM	461804106	98	618	SH		SOLE		618	0	0
INVITAE CORP	COM	46185L103	16289	2051489	SH		SOLE		2051489	0	0
INVIVO THERAPEUTICS HLDGS CO	COM NEW	46186M209	75	17840	SH		SOLE		17840	0	0
ION GEOPHYSICAL CORP	COM NEW	462044207	9	1418	SH		SOLE		1418	0	0
IONIS PHARMACEUTICALS INC	COM	462222100	3408	71256	SH		SOLE		71256	0	0
IPG PHOTONICS CORP	COM	44980X109	2081	21078	SH		SOLE		21078	0	0
IRADIMED CORP	COM	46266A109	13	1212	SH		SOLE		1212	0	0
IRHYTHM TECHNOLOGIES INC	COM	450056106	2858	95270	SH		SOLE		95270	0	0
IRHYTHM TECHNOLOGIES INC	COM	450056106	79	2635	SH		SOLE	2	2635	0	0
IRIDEX CORP	COM	462684101	37	2608	SH		SOLE		2608	0	0
IRIDIUM COMMUNICATIONS INC	COM	46269C102	421	43812	SH		SOLE		43812	0	0
IROBOT CORP	COM	462726100	1489	25473	SH		SOLE		25473	0	0
IRON MTN INC NEW	COM	46284V101	3972	122282	SH		SOLE		122282	0	0
IRON MTN INC NEW	COM	46284V101	4750	146243	SH		SOLE	2	0	0	146243
IRONWOOD PHARMACEUTICALS INC	COM CL A	46333X108	4875	318864	SH		SOLE		259814	0	59050
IRONWOOD PHARMACEUTICALS INC	COM CL A	46333X108	1621	106000	SH		SOLE	2	106000	0	0
ISHARES	OPTIONS	464286400	123	3700	SH	Put	OTR		3700	0	0
ISHARES	MSCI CDA ETF	464286509	494	18882	SH		SOLE		18882	0	0
ISHARES	MIN VOL GBL ETF	464286525	6682	92032	SH		SOLE		92032	0	0
ISHARES	MIN VOL EMRG MKT	464286533	421	8615	SH		SOLE		8615	0	0
ISHARES	MSCI EURZONE ETF	464286608	67132	1940245	SH		SOLE		1940245	0	0
ISHARES	MSCI GERMANY ETF	464286806	6770	255651	SH		SOLE		255651	0	0
ISHARES	10+ YR CR BD ETF	464289511	265	4511	SH		SOLE		4511	0	0
ISHARES GOLD TRUST	ISHARES	464285105	154223	13919011	SH		SOLE		13919011	0	0
ISHARES INC	CORE MSCI EMKT	46434G103	578	13608	SH		SOLE		13608	0	0
ISHARES INC	MSCI JPN ETF NEW	46434G822	59713	1222132	SH		SOLE		1222132	0	0
ISHARES SILVER TRUST	ISHARES	46428Q109	661	43741	SH		SOLE		43741	0	0
ISHARES TR	CORE S&P TTL STK	464287150	306725	5980204	SH		SOLE		5980204	0	0
ISHARES TR	TIPS BD ETF	464287176	85322	753930	SH		SOLE		753930	0	0
ISHARES TR	OPTIONS	464287184	257	7400	SH	Call	OTR		7400	0	0
ISHARES TR	OPTIONS	464287184	160	4600	SH	Put	OTR		4600	0	0
ISHARES TR	OPTIONS	464287184	209156	6025800	SH	Put	SOLE		6025800	0	0
ISHARES TR	CORE S&P500 ETF	464287200	566448	2517658	SH		SOLE		2517658	0	0
ISHARES TR	CORE US AGGBD ET	464287226	126631	1171858	SH		SOLE		1171858	0	0
ISHARES TR	OPTIONS	464287234	214	6100	SH	Call	OTR		6100	0	0
ISHARES TR	OPTIONS	464287234	214	6100	SH	Put	OTR		6100	0	0
ISHARES TR	IBOXX INV CP ETF	464287242	421571	3597638	SH		SOLE		3597638	0	0
ISHARES TR	OPTIONS	464287242	50387	430000	SH	Put	SOLE		430000	0	0
ISHARES TR	20 YR TR BD ETF	464287432	29	244	SH		OTR		244	0	0
ISHARES TR	20 YR TR BD ETF	464287432	15675	131577	SH		SOLE		131577	0	0
ISHARES TR	OPTIONS	464287432	548	4600	SH	Call	OTR		4600	0	0
ISHARES TR	OPTIONS	464287432	548	4600	SH	Put	OTR		4600	0	0
ISHARES TR	OPTIONS	464287432	35739	300000	SH	Call	SOLE		300000	0	0
ISHARES TR	7-10 Y TR BD ETF	464287440	50431	481118	SH		SOLE		481118	0	0
ISHARES TR	1-3 YR TR BD ETF	464287457	1338	15844	SH		SOLE		15844	0	0
ISHARES TR	MSCI EAFE ETF	464287465	22511	389943	SH		SOLE		389943	0	0
ISHARES TR	CORE S&P MCP ETF	464287507	58581	354305	SH		SOLE		354305	0	0
ISHARES TR	RUS 1000 ETF	464287622	5240	42098	SH		SOLE		42098	0	0
ISHARES TR	OPTIONS	464287655	654077	4850400	SH	Put	SOLE		4850400	0	0
ISHARES TR	RUSSELL 2000 ETF	464287655	22999	170554	SH		SOLE		170554	0	0
ISHARES TR	U.S. TECH ETF	464287721	5926	49279	SH		SOLE		49279	0	0
ISHARES TR	OPTIONS	464287739	192	2500	SH	Put	OTR		2500	0	0
ISHARES TR	U.S. REAL ES ETF	464287739	2589	33644	SH		SOLE		33644	0	0
ISHARES TR	U.S. INDS ETF	464287754	44465	368777	SH		SOLE		368777	0	0
ISHARES TR	US HLTHCARE ETF	464287762	18462	128095	SH		SOLE		128095	0	0
ISHARES TR	U.S. FINLS ETF	464287788	71443	704154	SH		SOLE		704154	0	0
ISHARES TR	U.S. ENERGY ETF	464287796	9861	237378	SH		SOLE		237378	0	0
ISHARES TR	CORE S&P SCP ETF	464287804	2013	14640	SH		SOLE		14640	0	0
ISHARES TR	U.S. CNSM GD ETF	464287812	37438	338129	SH		SOLE		338129	0	0
ISHARES TR	AGENCY BOND ETF	464288166	3344	29697	SH		SOLE		29697	0	0
ISHARES TR	JP MOR EM MK ETF	464288281	183912	1668594	SH		SOLE		1668594	0	0
ISHARES TR	INTL DEV RE ETF	464288489	4026	153200	SH		SOLE		153200	0	0
ISHARES TR	IBOXX HI YD ETF	464288513	1212284	14006752	SH		SOLE		14006752	0	0
ISHARES TR	OPTIONS	464288513	831	9600	SH	Put	OTR		9600	0	0
ISHARES TR	OPTIONS	464288513	6491	75000	SH	Call	SOLE		75000	0	0
ISHARES TR	OPTIONS	464288513	30293	350000	SH	Put	SOLE		350000	0	0
ISHARES TR	MBS ETF	464288588	3302	31047	SH		SOLE		31047	0	0
ISHARES TR	US CREDIT BD ETF	464288620	5773	52861	SH		SOLE		52861	0	0
ISHARES TR	INTERM CR BD ETF	464288638	64528	596433	SH		SOLE		596433	0	0
ISHARES TR	1-3 YR CR BD ETF	464288646	9377	89359	SH		SOLE		89359	0	0
ISHARES TR	10-20 YR TRS ETF	464288653	0	1	SH		SOLE		1	0	0
ISHARES TR	3-7 YR TR BD ETF	464288661	795	6492	SH		SOLE		6492	0	0
ISHARES TR	SHRT TRS BD ETF	464288679	0	1	SH		SOLE		1	0	0
ISHARES TR	OPTIONS	464288687	7628	205000	SH	Put	SOLE		205000	0	0
ISHARES TR	U.S. PFD STK ETF	464288687	5	147	SH		OTR		147	0	0
ISHARES TR	U.S. PFD STK ETF	464288687	9909	266310	SH		SOLE		266310	0	0
ISHARES TR	US TREASURY ETF	46429B267	2903	116460	SH		SOLE		116460	0	0
ISHARES TR	CMBS ETF	46429B366	230	4507	SH		SOLE		4507	0	0
ISHARES TR	FLTG RATE BD ETF	46429B655	15942	314250	SH		SOLE		314250	0	0
ISHARES TR	CORE HIGH DV ETF	46429B663	2010	24434	SH		SOLE		24434	0	0
ISHARES TR	MIN VOL EAFE ETF	46429B689	21181	345982	SH		SOLE		345982	0	0
ISHARES TR	MIN VOL USA ETF	46429B697	74143	1639610	SH		SOLE		1639610	0	0
ISHARES TR	OPTIONS	46429B697	543	12000	SH	Call	OTR		12000	0	0
ISHARES TR	0-5 YR TIPS ETF	46429B747	0	1	SH		SOLE		1	0	0
ISHARES TR	USA MOMENTUM FCT	46432F396	34997	461337	SH		SOLE		461337	0	0
ISHARES TR	CORE MSCI EAFE	46432F842	244950	4567398	SH		SOLE		4567398	0	0
ISHARES TR	MULTIFACTOR INTL	46434V274	27541	1185581	SH		SOLE		1185581	0	0
ISHARES TR	MULTIFACTOR USA	46434V282	31749	1188223	SH		SOLE		1188223	0	0
ISHARES TR	MULTIFACTOR USA	46434V290	4148	117132	SH		SOLE		117132	0	0
ISHARES TR	0-5YR HI YL CP	46434V407	10866	229527	SH		SOLE		229527	0	0
ISHARES TR	GLOBAL REIT ETF	46434V647	12838	508648	SH		SOLE		508648	0	0
ISHARES TR	MSCI UK ETF NEW	46435G334	27359	891451	SH		SOLE		891451	0	0
ISHARES U S ETF TR	SHT MAT BD ETF	46431W507	122500	2441204	SH		SOLE		2441204	0	0
ISHARES U S ETF TR	FXD INC BAL RISK	46431W846	22183	223840	SH		SOLE		223840	0	0
ISHARES U S ETF TR	COMMOD SEL STG	46431W853	815	23763	SH		SOLE		23763	0	0
ISLE OF CAPRI CASINOS INC	COM	464592104	951	38504	SH		SOLE		38504	0	0
ISORAY INC	COM	46489V104	9	15938	SH		SOLE		15938	0	0
ISRAMCO INC	COM NEW	465141406	68	551	SH		SOLE		551	0	0
ISTAR INC	COM	45031U101	472	38179	SH		SOLE		38179	0	0
ITAU UNIBANCO HLDG SA	SPON ADR REP PFD	465562106	31692	3082878	SH		SOLE		3082878	0	0
ITRON INC	COM	465741106	1125	17893	SH		SOLE		17893	0	0
ITT INC	COM	45073V108	2060	53401	SH		SOLE		53401	0	0
IXIA	COM	45071R109	551	34216	SH		SOLE		34216	0	0
IXYS CORP	COM	46600W106	159	13367	SH		SOLE		13367	0	0
J & J SNACK FOODS CORP	COM	466032109	1055	7910	SH		SOLE		7910	0	0
J ALEXANDERS HLDGS INC	COM	46609J106	1603	149076	SH		SOLE		149076	0	0
J2 GLOBAL INC	COM	48123V102	2258	27610	SH		SOLE		27610	0	0
JABIL CIRCUIT INC	COM	466313103	4725	199626	SH		SOLE		199626	0	0
JACK IN THE BOX INC	COM	466367109	2414	21626	SH		SOLE		21626	0	0
JACOBS ENGR GROUP INC DEL	COM	469814107	3862	67754	SH		SOLE		67754	0	0
JACOBS ENGR GROUP INC DEL	COM	469814107	5249	92079	SH		SOLE	2	0	0	92079
JAKKS PAC INC	COM	47012E106	25	4864	SH		SOLE		4864	0	0
JAMBA INC	COM NEW	47023A309	76	7354	SH		SOLE		7354	0	0
JAMES RIV GROUP LTD	COM	G5005R107	919	22110	SH		SOLE		22110	0	0
JANUS CAP GROUP INC	COM	47102X105	1016	76598	SH		SOLE		76598	0	0
JASON INDS INC	COM	471172106	8	4507	SH		SOLE		4507	0	0
JAZZ PHARMACEUTICALS PLC	SHS USD	G50871105	34590	317255	SH		SOLE		317255	0	0
JAZZ PHARMACEUTICALS PLC	SHS USD	G50871105	3551	32573	SH		SOLE	2	12000	0	20573
JD COM INC	SPON ADR CL A	47215P106	258	10151	SH		SOLE		10151	0	0
JETBLUE AIRWAYS CORP	COM	477143101	12508	557890	SH		SOLE		557890	0	0
JIVE SOFTWARE INC	COM	47760A108	130	29886	SH		SOLE		29886	0	0
JOHN BEAN TECHNOLOGIES CORP	COM	477839104	9889	115053	SH		SOLE		115053	0	0
JOHNSON & JOHNSON	COM	478160104	672268	5835154	SH		SOLE		5835154	0	0
JOHNSON & JOHNSON	COM	478160104	169769	1473559	SH		SOLE	2	86533	0	1387026
JOHNSON CTLS INTL PLC	SHS	G51502105	1839	44635	SH		OTR		0	44635	0
JOHNSON CTLS INTL PLC	SHS	G51502105	37885	919766	SH		SOLE		919766	0	0
JOHNSON CTLS INTL PLC	SHS	G51502105	15570	378009	SH		SOLE	2	0	0	378009
JOHNSON OUTDOORS INC	CL A	479167108	257	6482	SH		SOLE		6482	0	0
JONES ENERGY INC	COM CL A	48019R108	106	21119	SH		SOLE		21119	0	0
JONES LANG LASALLE INC	COM	48020Q107	3237	32035	SH		SOLE		26987	0	5048
JONES LANG LASALLE INC	COM	48020Q107	3529	34923	SH		SOLE	2	0	0	34923
JOY GLOBAL INC	COM	481165108	1515	54114	SH		SOLE		54114	0	0
JPMORGAN CHASE & CO	COM	46625H100	5987	69380	SH		OTR		0	69380	0
JPMORGAN CHASE & CO	COM	46625H100	1809078	20965094	SH		SOLE		20965094	0	0
JPMORGAN CHASE & CO	COM	46625H100	123424	1430340	SH		SOLE	2	120418	0	1309922
JPMORGAN CHASE & CO	OPTIONS	46625H100	19726	228600	SH	Call	SOLE		228600	0	0
JPMORGAN CHASE & CO	OPTIONS	46625H100	45458	526800	SH	Put	SOLE		526800	0	0
JUNIPER NETWORKS INC	COM	48203R104	16033	567354	SH		SOLE		567354	0	0
JUNIPER NETWORKS INC	COM	48203R104	6361	225084	SH		SOLE	2	0	0	225084
JUNIPER PHARMACEUTICALS INC	COM	48203L107	610	108894	SH		SOLE		108894	0	0
JUNO THERAPEUTICS INC	COM	48205A109	754	40017	SH		SOLE		40017	0	0
K12 INC	COM	48273U102	2426	141390	SH		SOLE		141390	0	0
K2M GROUP HLDGS INC	COM	48273J107	309	15396	SH		SOLE		15396	0	0
KADANT INC	COM	48282T104	361	5905	SH		SOLE		5905	0	0
KADMON HLDGS INC	COM	48283N106	22	4067	SH		SOLE		4067	0	0
KAISER ALUMINUM CORP	COM PAR $0.01	483007704	760	9784	SH		SOLE		9784	0	0
KALVISTA PHARMACEUTICALS INC	COM	483497103	2	258	SH		SOLE		258	0	0
KAMAN CORP	COM	483548103	686	14011	SH		SOLE		14011	0	0
KANSAS CITY SOUTHERN	COM NEW	485170302	140692	1658127	SH		SOLE		1658127	0	0
KANSAS CITY SOUTHERN	COM NEW	485170302	6089	71763	SH		SOLE	2	0	0	71763
KAPSTONE PAPER & PACKAGING C	COM	48562P103	1033	46833	SH		SOLE		46833	0	0
KAR AUCTION SVCS INC	COM	48238T109	3442	80754	SH		SOLE		80754	0	0
KARYOPHARM THERAPEUTICS INC	COM	48576U106	127	13558	SH		SOLE		13558	0	0
KATE SPADE & CO	COM	485865109	4529	242603	SH		SOLE		242603	0	0
KATE SPADE & CO	COM	485865109	116	6200	SH		SOLE	2	0	0	6200
KB HOME	COM	48666K109	706	44679	SH		SOLE		44679	0	0
KBR INC	COM	48242W106	28016	1678630	SH		SOLE		1678630	0	0
KBR INC	COM	48242W106	349	20900	SH		SOLE	2	0	0	20900
KCG HLDGS INC	CL A	48244B100	375	28298	SH		SOLE		28298	0	0
KEARNY FINL CORP MD	COM	48716P108	738	47487	SH		SOLE		47487	0	0
KELLOGG CO	COM	487836108	30000	406995	SH		SOLE		406995	0	0
KELLOGG CO	COM	487836108	11113	150767	SH		SOLE	2	0	0	150767
KELLY SVCS INC	CL A	488152208	349	15235	SH		SOLE		15235	0	0
KEMET CORP	COM NEW	488360207	1663	250868	SH		SOLE		250868	0	0
KEMPER CORP DEL	COM	488401100	1808	40811	SH		SOLE		40811	0	0
KEMPHARM INC	COM	488445107	12	4202	SH		SOLE		4202	0	0
KENNAMETAL INC	COM	489170100	8047	257429	SH		SOLE		257429	0	0
KENNEDY-WILSON HLDGS INC	COM	489398107	17346	846155	SH		SOLE		846155	0	0
KERYX BIOPHARMACEUTICALS INC	COM	492515101	261	44545	SH		SOLE		44545	0	0
KEY TECHNOLOGY INC	COM	493143101	12	998	SH		SOLE		998	0	0
KEY TRONICS CORP	COM	493144109	27	3413	SH		SOLE		3413	0	0
KEYCORP NEW	COM	493267108	563	30795	SH		OTR		0	30795	0
KEYCORP NEW	COM	493267108	190144	10407467	SH		SOLE		10407467	0	0
KEYCORP NEW	COM	493267108	8640	472918	SH		SOLE	2	0	0	472918
KEYSIGHT TECHNOLOGIES INC	COM	49338L103	4222	115453	SH		SOLE		115453	0	0
KEYW HLDG CORP	COM	493723100	238	20228	SH		SOLE		20228	0	0
KFORCE INC	COM	493732101	2901	125577	SH		SOLE		125577	0	0
KILROY RLTY CORP	COM	49427F108	9260	126468	SH		SOLE		126468	0	0
KIMBALL ELECTRONICS INC	COM	49428J109	285	15668	SH		SOLE		15668	0	0
KIMBALL INTL INC	CL B	494274103	334	19036	SH		SOLE		19036	0	0
KIMBERLY CLARK CORP	COM	494368103	80348	704067	SH		SOLE		704067	0	0
KIMBERLY CLARK CORP	COM	494368103	27394	240047	SH		SOLE	2	0	0	240047
KIMCO RLTY CORP	COM	49446R109	11348	451030	SH		SOLE		451030	0	0
KIMCO RLTY CORP	COM	49446R109	6205	246640	SH		SOLE	2	0	0	246640
KINDER MORGAN INC DEL	COM	49456B101	2475	119511	SH		SOLE		119511	0	0
KINDER MORGAN INC DEL	*W EXP 05/25/201	49456B119	1	109205	SH		OTR		109205	0	0
KINDRED BIOSCIENCES INC	COM	494577109	99	23195	SH		SOLE		23195	0	0
KINDRED HEALTHCARE INC	COM	494580103	345	44007	SH		SOLE		44007	0	0
KINROSS GOLD CORP	OPTIONS	496902404	50	16000	SH	Call	OTR		16000	0	0
KINSALE CAP GROUP INC	COM	49714P108	87	2555	SH		SOLE		2555	0	0
KIRBY CORP	COM	497266106	7199	108249	SH		SOLE		108249	0	0
KIRKLANDS INC	COM	497498105	126	8113	SH		SOLE		8113	0	0
KITE PHARMA INC	COM	49803L109	1903	42430	SH		SOLE		42430	0	0
KITE RLTY GROUP TR	COM NEW	49803T300	2208	94026	SH		SOLE		94026	0	0
KITOV PHARMACEUTICALS HLDGS	*W EXP 11/20/202	49803V115	14	10533	SH		OTR		10533	0	0
KLA-TENCOR CORP	COM	482480100	13885	176471	SH		SOLE		176471	0	0
KLA-TENCOR CORP	COM	482480100	7402	94071	SH		SOLE	2	0	0	94071
KLX INC	COM	482539103	1331	29506	SH		SOLE		29506	0	0
KLX INC	COM	482539103	401	8900	SH		SOLE	2	0	0	8900
KMG CHEMICALS INC	COM	482564101	183	4694	SH		SOLE		4694	0	0
KNIGHT TRANSN INC	COM	499064103	1157	35018	SH		SOLE		35018	0	0
KNOLL INC	COM NEW	498904200	7051	252450	SH		SOLE		252450	0	0
KNOWLES CORP	COM	49926D109	772	46208	SH		SOLE		46208	0	0
KOHLS CORP	COM	500255104	7824	158454	SH		SOLE		158454	0	0
KOHLS CORP	COM	500255104	9454	191449	SH		SOLE	2	13002	0	178447
KONA GRILL INC	COM	50047H201	32	2572	SH		SOLE		2572	0	0
KOPIN CORP	COM	500600101	99	34982	SH		SOLE		34982	0	0
KOPPERS HOLDINGS INC	COM	50060P106	1935	48011	SH		SOLE		48011	0	0
KORN FERRY INTL	COM NEW	500643200	893	30358	SH		SOLE		30358	0	0
KOSMOS ENERGY LTD	SHS	G5315B107	15051	2147026	SH		SOLE		2147026	0	0
KRAFT HEINZ CO	COM	500754106	4195	48043	SH		SOLE		48043	0	0
KRAFT HEINZ CO	COM	500754106	22722	260218	SH		SOLE	2	3607	0	256611
KRATON CORPORATION	COM	50077C106	4507	158264	SH		SOLE		158264	0	0
KRATOS DEFENSE & SEC SOLUTIO	COM NEW	50077B207	219	29604	SH		SOLE		29604	0	0
KROGER CO	COM	501044101	443956	12864567	SH		SOLE		12836622	0	27945
KROGER CO	COM	501044101	17889	518381	SH		SOLE	2	0	0	518381
KRONOS WORLDWIDE INC	COM	50105F105	126	10551	SH		SOLE		10551	0	0
KULICKE & SOFFA INDS INC	COM	501242101	5211	326688	SH		SOLE		326688	0	0
KVH INDS INC	COM	482738101	98	8283	SH		SOLE		8283	0	0
L BRANDS INC	COM	501797104	8041	122132	SH		SOLE		108946	0	13186
L BRANDS INC	COM	501797104	8300	126057	SH		SOLE	2	0	0	126057
L-3 COMMUNICATIONS HLDGS INC	COM	502424104	25958	170653	SH		SOLE		170653	0	0
L-3 COMMUNICATIONS HLDGS INC	COM	502424104	8979	59030	SH		SOLE	2	0	0	59030
LA JOLLA PHARMACEUTICAL CO	COM PAR $.0001 2	503459604	122	6978	SH		SOLE		6978	0	0
LA QUINTA HLDGS INC	COM	50420D108	630	44356	SH		SOLE		44356	0	0
LA Z BOY INC	COM	505336107	3863	124397	SH		SOLE		124397	0	0
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	60807	473651	SH		SOLE		473651	0	0
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	8492	66149	SH		SOLE	2	0	0	66149
LADDER CAP CORP	CL A	505743104	363	26426	SH		SOLE		26426	0	0
LADENBURG THALMAN FIN SVCS I	COM	50575Q102	140	57295	SH		SOLE		57295	0	0
LAKE SUNAPEE BK GROUP	COM	510866106	76	3221	SH		SOLE		3221	0	0
LAKELAND BANCORP INC	COM	511637100	461	23660	SH		SOLE		23660	0	0
LAKELAND FINL CORP	COM	511656100	622	13135	SH		SOLE		13135	0	0
LAKELAND INDS INC	COM	511795106	22	2101	SH		SOLE		2101	0	0
LAM RESEARCH CORP	COM	512807108	165605	1566305	SH		SOLE		1566305	0	0
LAM RESEARCH CORP	COM	512807108	7872	74453	SH		SOLE	2	0	0	74453
LAMAR ADVERTISING CO NEW	CL A	512816109	3336	49620	SH		SOLE		49620	0	0
LAMB WESTON HLDGS INC	COM	513272104	3126	82576	SH		SOLE		82576	0	0
LANCASTER COLONY CORP	COM	513847103	1997	14122	SH		SOLE		14122	0	0
LANDAUER INC	COM	51476K103	14386	299080	SH		SOLE		299080	0	0
LANDEC CORP	COM	514766104	207	14972	SH		SOLE		14972	0	0
LANDS END INC NEW	COM	51509F105	110	7291	SH		SOLE		7291	0	0
LANDSTAR SYS INC	COM	515098101	2134	25022	SH		SOLE		25022	0	0
LANNET INC	COM	516012101	332	15053	SH		SOLE		15053	0	0
LANTHEUS HLDGS INC	COM	516544103	30	3455	SH		SOLE		3455	0	0
LANTRONIX INC	COM NEW	516548203	15	9095	SH		SOLE		9095	0	0
LAREDO PETROLEUM INC	COM	516806106	1195	84532	SH		SOLE		84532	0	0
LAS VEGAS SANDS CORP	COM	517834107	3886	72761	SH		SOLE		72761	0	0
LAS VEGAS SANDS CORP	COM	517834107	12924	241974	SH		SOLE	2	0	0	241974
LASALLE HOTEL PPTYS	COM SH BEN INT	517942108	3963	130061	SH		SOLE		130061	0	0
LATTICE SEMICONDUCTOR CORP	COM	518415104	473	64261	SH		SOLE		64261	0	0
LAUDER ESTEE COS INC	CL A	518439104	14030	183424	SH		SOLE		169746	0	13678
LAUDER ESTEE COS INC	CL A	518439104	11694	152884	SH		SOLE	2	0	0	152884
LAWSON PRODS INC	COM	520776105	59	2476	SH		SOLE		2476	0	0
LAYNE CHRISTENSEN CO	COM	521050104	118	10872	SH		SOLE		10872	0	0
LAZARD LTD	SHS A	G54050102	3137	76344	SH		SOLE		76344	0	0
LCNB CORP	COM	50181P100	77	3332	SH		SOLE		3332	0	0
LEAR CORP	COM NEW	521865204	187731	1418231	SH		SOLE		1418231	0	0
LEAR CORP	COM NEW	521865204	3295	24896	SH		SOLE	2	0	0	24896
LEE ENTERPRISES INC	COM	523768109	25	8464	SH		SOLE		8464	0	0
LEGACY TEX FINL GROUP INC	COM	52471Y106	1062	24654	SH		SOLE		24654	0	0
