COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
GALLAGHER ARTHUR J & CO	COM	363576109	6583	75154	SH		SOLE		75154	0	0
GAMESTOP CORP NEW	CL A	36467W109	76	13817	SH		SOLE		13817	0	0
GAMING & LEISURE PPTYS INC	COM	36467J108	1731	44398	SH		SOLE		44398	0	0
GANNETT CO INC	COM	36473H104	126	15389	SH		SOLE		15389	0	0
GAP INC	COM	364760108	1006	55976	SH		SOLE		55976	0	0
GARMIN LTD	SHS	H2906T109	3837	48081	SH		SOLE		48081	0	0
GARTNER INC	COM	366651107	2242	13929	SH		SOLE		13929	0	0
GATX CORP	COM	361448103	12276	154820	SH		SOLE		154820	0	0
GCI LIBERTY INC	COM CLASS A	36164V305	300	4875	SH		SOLE		4875	0	0
GCP APPLIED TECHNOLOGIES INC	COM	36164Y101	274	12114	SH		SOLE		12114	0	0
GENERAC HLDGS INC	COM	368736104	466	6716	SH		SOLE		6716	0	0
GENERAL DYNAMICS CORP	COM	369550108	91208	501640	SH		SOLE		501640	0	0
GENERAL ELECTRIC CO	COM	369604103	10604	1009887	SH		SOLE		1009887	0	0
GENERAL MLS INC	COM	370334104	4693	89360	SH		SOLE		89360	0	0
GENERAL MTRS CO	COM	37045V100	5958	154635	SH		SOLE		154635	0	0
GENESEE & WYO INC	CL A	371559105	478	4776	SH		SOLE		4776	0	0
GENOMIC HEALTH INC	COM	37244C101	759	13042	SH		SOLE		13042	0	0
GENTEX CORP	COM	371901109	520	21110	SH		SOLE		21110	0	0
GENUINE PARTS CO	COM	372460105	84554	816312	SH		SOLE		816312	0	0
GENWORTH FINL INC	COM CL A	37247D106	582	156872	SH		SOLE		156872	0	0
GEO GROUP INC NEW	COM	36162J106	1031	49074	SH		SOLE		49074	0	0
GERON CORP	COM	374163103	102	72596	SH		SOLE		72596	0	0
GILEAD SCIENCES INC	COM	375558103	77012	1139907	SH		SOLE		1139907	0	0
GLACIER BANCORP INC NEW	COM	37637Q105	892	21992	SH		SOLE		21992	0	0
GLAUKOS CORP	COM	377322102	272	3613	SH		SOLE		3613	0	0
GLOBAL BLOOD THERAPEUTICS IN	COM	37890U108	1164	22134	SH		SOLE		22134	0	0
GLOBAL NET LEASE INC	COM NEW	379378201	206	10521	SH		SOLE		10521	0	0
GLOBAL PMTS INC	COM	37940X102	2790	17425	SH		SOLE		17425	0	0
GLOBUS MED INC	CL A	379577208	669	15812	SH		SOLE		15812	0	0
GLU MOBILE INC	COM	379890106	86	11943	SH		SOLE		11943	0	0
GLYCOMIMETICS INC	COM	38000Q102	193	16214	SH		SOLE		16214	0	0
GODADDY INC	CL A	380237107	592	8435	SH		SOLE		8435	0	0
GOLAR LNG LTD BERMUDA	SHS	G9456A100	185	10020	SH		SOLE		10020	0	0
GOLDMAN SACHS GROUP INC	COM	38141G104	44673	218345	SH		SOLE		218345	0	0
GOODYEAR TIRE & RUBR CO	COM	382550101	297	19428	SH		SOLE		19428	0	0
GOPRO INC	CL A	38268T103	66	12173	SH		SOLE		12173	0	0
GORMAN RUPP CO	COM	383082104	11089	337783	SH		SOLE		337783	0	0
GRACE W R & CO DEL NEW	COM	38388F108	316	4150	SH		SOLE		4150	0	0
GRACO INC	COM	384109104	12763	254337	SH		SOLE		254337	0	0
GRAHAM HLDGS CO	COM	384637104	255	369	SH		SOLE		369	0	0
GRAINGER W W INC	COM	384802104	79106	294917	SH		SOLE		294917	0	0
GRANITE CONSTR INC	COM	387328107	403	8368	SH		SOLE		8368	0	0
GREAT WESTN BANCORP INC	COM	391416104	275	7704	SH		SOLE		7704	0	0
GREEN DOT CORP	CL A	39304D102	728	14893	SH		SOLE		14893	0	0
GRIFOLS S A	SP ADR REP B NVT	398438408	823	38991	SH		SOLE		38991	0	0
GROUP 1 AUTOMOTIVE INC	COM	398905109	204	2496	SH		SOLE		2496	0	0
GROUPON INC	COM	399473107	3165	883989	SH		SOLE		883989	0	0
GRUBHUB INC	COM	400110102	342	4379	SH		SOLE		4379	0	0
GUIDEWIRE SOFTWARE INC	COM	40171V100	396	3911	SH		SOLE		3911	0	0
GULFPORT ENERGY CORP	COM NEW	402635304	152	30884	SH		SOLE		30884	0	0
GW PHARMACEUTICALS PLC	ADS	36197T103	1472	8536	SH		SOLE		8536	0	0
HAEMONETICS CORP	COM	405024100	1294	10749	SH		SOLE		10749	0	0
HALCON RES CORP	COM	40537Q605	3	14145	SH		SOLE		14145	0	0
HALLIBURTON CO	COM	406216101	3230	142054	SH		SOLE		142054	0	0
HALOZYME THERAPEUTICS INC	COM	40637H109	957	55688	SH		SOLE		55688	0	0
HANCOCK WHITNEY CORPORATION	COM	410120109	1064	26564	SH		SOLE		26564	0	0
HANESBRANDS INC	COM	410345102	684	39717	SH		SOLE		39717	0	0
HANOVER INS GROUP INC	COM	410867105	1069	8333	SH		SOLE		8333	0	0
HARLEY DAVIDSON INC	COM	412822108	2016	56271	SH		SOLE		56271	0	0
HARMONIC INC	COM	413160102	64	11556	SH		SOLE		11556	0	0
HARRIS CORP DEL	COM	413875105	3370	17818	SH		SOLE		17818	0	0
HARSCO CORP	COM	415864107	297	10831	SH		SOLE		10831	0	0
HARTFORD FINL SVCS GROUP INC	COM	416515104	7671	137668	SH		SOLE		137668	0	0
HASBRO INC	COM	418056107	8776	83043	SH		SOLE		83043	0	0
HAWAIIAN ELEC INDUSTRIES	COM	419870100	438	10051	SH		SOLE		10051	0	0
HCA HEALTHCARE INC	COM	40412C101	8033	59429	SH		SOLE		59429	0	0
HCP INC	COM	40414L109	7706	240976	SH		SOLE		240976	0	0
HEALTHCARE RLTY TR	COM	421946104	1624	51838	SH		SOLE		51838	0	0
HEALTHCARE SVCS GRP INC	COM	421906108	21078	695199	SH		SOLE		695199	0	0
HEALTHCARE TR AMER INC	CL A NEW	42225P501	1238	45140	SH		SOLE		45140	0	0
HEALTHEQUITY INC	COM	42226A107	745	11396	SH		SOLE		11396	0	0
HECLA MNG CO	COM	422704106	87	48559	SH		SOLE		48559	0	0
HELEN OF TROY CORP LTD	COM	G4388N106	625	4783	SH		SOLE		4783	0	0
HELIX ENERGY SOLUTIONS GRP I	COM	42330P107	163	18927	SH		SOLE		18927	0	0
HELMERICH & PAYNE INC	COM	423452101	3109	61427	SH		SOLE		61427	0	0
HENRY JACK & ASSOC INC	COM	426281101	3578	26715	SH		SOLE		26715	0	0
HENRY SCHEIN INC	COM	806407102	7191	102872	SH		SOLE		102872	0	0
HERSHEY CO	COM	427866108	4739	35355	SH		SOLE		35355	0	0
HESS CORP	COM	42809H107	5629	88554	SH		SOLE		88554	0	0
HEWLETT PACKARD ENTERPRISE C	COM	42824C109	3942	263649	SH		SOLE		263649	0	0
HFF INC	CL A	40418F108	233	5119	SH		SOLE		5119	0	0
HIGHPOINT RES CORP	COM	43114K108	27	14720	SH		SOLE		14720	0	0
HIGHWOODS PPTYS INC	COM	431284108	1283	31065	SH		SOLE		31065	0	0
HILL ROM HLDGS INC	COM	431475102	726	6938	SH		SOLE		6938	0	0
HILLENBRAND INC	COM	431571108	10634	268746	SH		SOLE		268746	0	0
HILTON WORLDWIDE HLDGS INC	COM	43300A203	6196	63396	SH		SOLE		63396	0	0
HMS HLDGS CORP	COM	40425J101	365	11278	SH		SOLE		11278	0	0
HNI CORP	COM	404251100	289	8161	SH		SOLE		8161	0	0
HOLLYFRONTIER CORP	COM	436106108	1261	27247	SH		SOLE		27247	0	0
HOLOGIC INC	COM	436440101	3881	80817	SH		SOLE		80817	0	0
HOME BANCSHARES INC	COM	436893200	928	48205	SH		SOLE		48205	0	0
HOME DEPOT INC	COM	437076102	61743	296884	SH		SOLE		296884	0	0
HOMOLOGY MEDICINES INC	COM	438083107	285	14550	SH		SOLE		14550	0	0
HONEYWELL INTL INC	COM	438516106	15595	89324	SH		SOLE		89324	0	0
HOPE BANCORP INC	COM	43940T109	225	16308	SH		SOLE		16308	0	0
HORACE MANN EDUCATORS CORP N	COM	440327104	223	5543	SH		SOLE		5543	0	0
HORIZON THERAPEUTICS PUB LTD	SHS	G46188101	1868	77645	SH		SOLE		77645	0	0
HORMEL FOODS CORP	COM	440452100	88785	2190067	SH		SOLE		2190067	0	0
HOSPITALITY PPTYS TR	COM SH BEN INT	44106M102	1233	49310	SH		SOLE		49310	0	0
HOST HOTELS & RESORTS INC	COM	44107P104	6988	383542	SH		SOLE		383542	0	0
HOSTESS BRANDS INC	CL A	44109J106	151	10459	SH		SOLE		10459	0	0
HOUGHTON MIFFLIN HARCOURT CO	COM	44157R109	63	10963	SH		SOLE		10963	0	0
HOWARD HUGHES CORP	COM	44267D107	1070	8640	SH		SOLE		8640	0	0
HP INC	COM	40434L105	8033	386365	SH		SOLE		386365	0	0
HUBBELL INC	COM	443510607	600	4600	SH		SOLE		4600	0	0
HUBSPOT INC	COM	443573100	989	5798	SH		SOLE		5798	0	0
HUDSON PAC PPTYS INC	COM	444097109	1130	33976	SH		SOLE		33976	0	0
HUMANA INC	COM	444859102	5466	20604	SH		SOLE		20604	0	0
HUNT J B TRANS SVCS INC	COM	445658107	6500	71107	SH		SOLE		71107	0	0
HUNTINGTON BANCSHARES INC	COM	446150104	6178	447032	SH		SOLE		447032	0	0
HUNTINGTON INGALLS INDS INC	COM	446413106	3735	16620	SH		SOLE		16620	0	0
HUNTSMAN CORP	COM	447011107	269	13147	SH		SOLE		13147	0	0
HUTCHISON CHINA MEDITECH LTD	SPONSORED ADR	44842L103	230	10447	SH		SOLE		10447	0	0
IAC INTERACTIVECORP	COM	44919P508	820	3770	SH		SOLE		3770	0	0
IBERIABANK CORP	COM	450828108	963	12694	SH		SOLE		12694	0	0
ICU MED INC	COM	44930G107	436	1732	SH		SOLE		1732	0	0
IDACORP INC	COM	451107106	1003	9987	SH		SOLE		9987	0	0
IDEX CORP	COM	45167R104	1098	6377	SH		SOLE		6377	0	0
IDEXX LABS INC	COM	45168D104	19299	70094	SH		SOLE		70094	0	0
IHS MARKIT LTD	SHS	G47567105	2586	40583	SH		SOLE		40583	0	0
II VI INC	COM	902104108	306	8375	SH		SOLE		8375	0	0
ILLINOIS TOOL WKS INC	COM	452308109	86703	574914	SH		SOLE		574914	0	0
ILLUMINA INC	COM	452327109	52542	142720	SH		SOLE		142720	0	0
IMMUNOGEN INC	COM	45253H101	128	58850	SH		SOLE		58850	0	0
IMMUNOMEDICS INC	COM	452907108	1054	75979	SH		SOLE		75979	0	0
INCYTE CORP	COM	45337C102	20435	240527	SH		SOLE		240527	0	0
INDEPENDENCE RLTY TR INC	COM	45378A106	139	12033	SH		SOLE		12033	0	0
INDEPENDENT BANK CORP MASS	COM	453836108	342	4492	SH		SOLE		4492	0	0
INFINERA CORPORATION	COM	45667G103	46	15978	SH		SOLE		15978	0	0
INGERSOLL-RAND PLC	SHS	G47791101	3409	26913	SH		SOLE		26913	0	0
INGEVITY CORP	COM	45688C107	1095	10407	SH		SOLE		10407	0	0
INGREDION INC	COM	457187102	455	5519	SH		SOLE		5519	0	0
INNOSPEC INC	COM	45768S105	299	3275	SH		SOLE		3275	0	0
INNOVIVA INC	COM	45781M101	565	38803	SH		SOLE		38803	0	0
INOGEN INC	COM	45780L104	251	3759	SH		SOLE		3759	0	0
INOVIO PHARMACEUTICALS INC	COM NEW	45773H201	111	37842	SH		SOLE		37842	0	0
INPHI CORP	COM	45772F107	230	4598	SH		SOLE		4598	0	0
INSIGHT ENTERPRISES INC	COM	45765U103	278	4774	SH		SOLE		4774	0	0
INSMED INC	COM PAR $.01	457669307	862	33654	SH		SOLE		33654	0	0
INSPERITY INC	COM	45778Q107	882	7220	SH		SOLE		7220	0	0
INTEGER HLDGS CORP	COM	45826H109	349	4159	SH		SOLE		4159	0	0
INTEGRA LIFESCIENCES HLDGS C	COM NEW	457985208	411	7360	SH		SOLE		7360	0	0
INTEL CORP	COM	458140100	172292	3599160	SH		SOLE		3599160	0	0
INTELLIA THERAPEUTICS INC	COM	45826J105	276	16855	SH		SOLE		16855	0	0
INTERACTIVE BROKERS GROUP IN	COM CL A	45841N107	832	15348	SH		SOLE		15348	0	0
INTERCEPT PHARMACEUTICALS IN	COM	45845P108	989	12424	SH		SOLE		12424	0	0
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	15087	175555	SH		SOLE		175555	0	0
INTERDIGITAL INC	COM	45867G101	575	8929	SH		SOLE		8929	0	0
INTERNATIONAL BANCSHARES COR	COM	459044103	641	16991	SH		SOLE		16991	0	0
INTERNATIONAL BUSINESS MACHS	COM	459200101	38590	279844	SH		SOLE		279844	0	0
INTERNATIONAL FLAVORS&FRAGRA	COM	459506101	2483	17115	SH		SOLE		17115	0	0
INTERNATIONAL SPEEDWAY CORP	CL A	460335201	11788	262600	SH		SOLE		262600	0	0
INTERPUBLIC GROUP COS INC	COM	460690100	979	43322	SH		SOLE		43322	0	0
INTL PAPER CO	COM	460146103	2902	66983	SH		SOLE		66983	0	0
INTRA CELLULAR THERAPIES INC	COM	46116X101	270	20835	SH		SOLE		20835	0	0
INTREPID POTASH INC	COM	46121Y102	34	10123	SH		SOLE		10123	0	0
INTREXON CORP	COM	46122T102	432	56435	SH		SOLE		56435	0	0
INTUIT	COM	461202103	52292	200098	SH		SOLE		200098	0	0
INTUITIVE SURGICAL INC	COM NEW	46120E602	41771	79633	SH		SOLE		79633	0	0
INVESCO LTD	SHS	G491BT108	1965	96048	SH		SOLE		96048	0	0
INVESCO MORTGAGE CAPITAL INC	COM	46131B100	736	45653	SH		SOLE		45653	0	0
INVESTORS BANCORP INC NEW	COM	46146L101	600	53801	SH		SOLE		53801	0	0
INVITATION HOMES INC	COM	46187W107	2254	84312	SH		SOLE		84312	0	0
IONIS PHARMACEUTICALS INC	COM	462222100	2852	44381	SH		SOLE		44381	0	0
IOVANCE BIOTHERAPEUTICS INC	COM	462260100	1159	47266	SH		SOLE		47266	0	0
IPG PHOTONICS CORP	COM	44980X109	611	3958	SH		SOLE		3958	0	0
IQVIA HLDGS INC	COM	46266C105	6067	37705	SH		SOLE		37705	0	0
IRHYTHM TECHNOLOGIES INC	COM	450056106	202	2554	SH		SOLE		2554	0	0
IRIDIUM COMMUNICATIONS INC	COM	46269C102	307	13195	SH		SOLE		13195	0	0
IROBOT CORP	COM	462726100	336	3662	SH		SOLE		3662	0	0
IRON MTN INC NEW	COM	46284V101	3716	118733	SH		SOLE		118733	0	0
IRONWOOD PHARMACEUTICALS INC	COM CL A	46333X108	660	60328	SH		SOLE		60328	0	0
ISHARES TR	IBOXX HI YD ETF	464288513	2040	23395	SH		SOLE		23395	0	0
ITRON INC	COM	465741106	294	4703	SH		SOLE		4703	0	0
ITT INC	COM	45073V108	485	7404	SH		SOLE		7404	0	0
J & J SNACK FOODS CORP	COM	466032109	12191	75745	SH		SOLE		75745	0	0
J2 GLOBAL INC	COM	48123V102	968	10892	SH		SOLE		10892	0	0
JABIL INC	COM	466313103	374	11843	SH		SOLE		11843	0	0
JACK IN THE BOX INC	COM	466367109	399	4900	SH		SOLE		4900	0	0
JACOBS ENGR GROUP INC	COM	469814107	1083	12829	SH		SOLE		12829	0	0
JANUS HENDERSON GROUP PLC	ORD SHS	G4474Y214	719	33586	SH		SOLE		33586	0	0
JAZZ PHARMACEUTICALS PLC	SHS USD	G50871105	2555	17921	SH		SOLE		17921	0	0
JBG SMITH PPTYS	COM	46590V100	1421	36115	SH		SOLE		36115	0	0
JD COM INC	SPON ADR CL A	47215P106	17970	593266	SH		SOLE		593266	0	0
JEFFERIES FINL GROUP INC	COM	47233W109	574	29847	SH		SOLE		29847	0	0
JETBLUE AWYS CORP	COM	477143101	469	25384	SH		SOLE		25384	0	0
JOHN BEAN TECHNOLOGIES CORP	COM	477839104	512	4225	SH		SOLE		4225	0	0
JOHNSON & JOHNSON	COM	478160104	158333	1136795	SH		SOLE		1136795	0	0
JOHNSON CTLS INTL PLC	SHS	G51502105	5556	134505	SH		SOLE		134505	0	0
JONES LANG LASALLE INC	COM	48020Q107	1928	13701	SH		SOLE		13701	0	0
JPMORGAN CHASE & CO	COM	46625H100	108750	972715	SH		SOLE		972715	0	0
JUNIPER NETWORKS INC	COM	48203R104	3905	146630	SH		SOLE		146630	0	0
KADMON HLDGS INC	COM	48283N106	22	10565	SH		SOLE		10565	0	0
KAISER ALUMINUM CORP	COM PAR $0.01	483007704	212	2171	SH		SOLE		2171	0	0
KALA PHARMACEUTICALS INC	COM	483119103	74	11586	SH		SOLE		11586	0	0
KAMAN CORP	COM	483548103	237	3726	SH		SOLE		3726	0	0
KANSAS CITY SOUTHERN	COM NEW	485170302	2041	16756	SH		SOLE		16756	0	0
KARYOPHARM THERAPEUTICS INC	COM	48576U106	138	22962	SH		SOLE		22962	0	0
KB HOME	COM	48666K109	408	15854	SH		SOLE		15854	0	0
KBR INC	COM	48242W106	824	33044	SH		SOLE		33044	0	0
KELLOGG CO	COM	487836108	1464	27327	SH		SOLE		27327	0	0
KEMPER CORP DEL	COM	488401100	1585	18369	SH		SOLE		18369	0	0
KENNAMETAL INC	COM	489170100	576	15584	SH		SOLE		15584	0	0
KENNEDY-WILSON HLDGS INC	COM	489398107	273	13278	SH		SOLE		13278	0	0
KEYCORP NEW	COM	493267108	6681	376420	SH		SOLE		376420	0	0
KEYSIGHT TECHNOLOGIES INC	COM	49338L103	1881	20943	SH		SOLE		20943	0	0
KILROY RLTY CORP	COM	49427F108	2232	30238	SH		SOLE		30238	0	0
KIMBERLY CLARK CORP	COM	494368103	94379	708127	SH		SOLE		708127	0	0
KIMCO RLTY CORP	COM	49446R109	5059	273759	SH		SOLE		273759	0	0
KINDER MORGAN INC DEL	COM	49456B101	6614	316755	SH		SOLE		316755	0	0
KIRBY CORP	COM	497266106	360	4557	SH		SOLE		4557	0	0
KITE RLTY GROUP TR	COM NEW	49803T300	169	11175	SH		SOLE		11175	0	0
KLA-TENCOR CORP	COM	482480100	15042	127262	SH		SOLE		127262	0	0
KNIGHT SWIFT TRANSN HLDGS IN	CL A	499049104	346	10525	SH		SOLE		10525	0	0
KNOWLES CORP	COM	49926D109	217	11873	SH		SOLE		11873	0	0
KOHLS CORP	COM	500255104	1231	25890	SH		SOLE		25890	0	0
KORN FERRY	COM NEW	500643200	316	7881	SH		SOLE		7881	0	0
KRAFT HEINZ CO	COM	500754106	23275	749851	SH		SOLE		749851	0	0
KRATOS DEFENSE & SEC SOLUTIO	COM NEW	50077B207	214	9336	SH		SOLE		9336	0	0
KROGER CO	COM	501044101	3521	162170	SH		SOLE		162170	0	0
KURA ONCOLOGY INC	COM	50127T109	278	14142	SH		SOLE		14142	0	0
L BRANDS INC	COM	501797104	1832	70207	SH		SOLE		70207	0	0
L3 TECHNOLOGIES INC	COM	502413107	2174	8866	SH		SOLE		8866	0	0
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	2235	12929	SH		SOLE		12929	0	0
LADENBURG THALMAN FIN SVCS I	COM	50575Q102	37	10779	SH		SOLE		10779	0	0
LAM RESEARCH CORP	COM	512807108	21258	113172	SH		SOLE		113172	0	0
LAMAR ADVERTISING CO NEW	CL A	512816109	2069	25629	SH		SOLE		25629	0	0
LAMB WESTON HLDGS INC	COM	513272104	1812	28592	SH		SOLE		28592	0	0
LANCASTER COLONY CORP	COM	513847103	23853	160515	SH		SOLE		160515	0	0
LANDS END INC NEW	COM	51509F105	1177	96281	SH		SOLE		96281	0	0
LANDSTAR SYS INC	COM	515098101	366	3387	SH		SOLE		3387	0	0
LAREDO PETROLEUM INC	COM	516806106	61	20897	SH		SOLE		20897	0	0
LATTICE SEMICONDUCTOR CORP	COM	518415104	181	12408	SH		SOLE		12408	0	0
LAUDER ESTEE COS INC	CL A	518439104	6225	33996	SH		SOLE		33996	0	0
LAUREATE EDUCATION INC	CL A	518613203	158	10045	SH		SOLE		10045	0	0
LAZARD LTD	SHS A	G54050102	557	16207	SH		SOLE		16207	0	0
LCI INDS	COM	50189K103	298	3307	SH		SOLE		3307	0	0
LEGACY TEX FINL GROUP INC	COM	52471Y106	258	6345	SH		SOLE		6345	0	0
LEGG MASON INC	COM	524901105	680	17756	SH		SOLE		17756	0	0
LEGGETT & PLATT INC	COM	524660107	75732	1973728	SH		SOLE		1973728	0	0
LEIDOS HLDGS INC	COM	525327102	1472	18437	SH		SOLE		18437	0	0
LENDINGCLUB CORP	COM	52603A109	112	34020	SH		SOLE		34020	0	0
LENDINGTREE INC NEW	COM	52603B107	603	1435	SH		SOLE		1435	0	0
LENNAR CORP	CL A	526057104	4009	82734	SH		SOLE		82734	0	0
LENNOX INTL INC	COM	526107107	817	2972	SH		SOLE		2972	0	0
LEXICON PHARMACEUTICALS INC	COM NEW	528872302	224	35598	SH		SOLE		35598	0	0
LEXINGTON REALTY TRUST	COM	529043101	701	74526	SH		SOLE		74526	0	0
LHC GROUP INC	COM	50187A107	474	3962	SH		SOLE		3962	0	0
LIBERTY EXPEDIA HLDGS INC	SER A COM	53046P109	289	6057	SH		SOLE		6057	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	3125	115790	SH		SOLE		115790	0	0
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	7797	293903	SH		SOLE		293903	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	218	12685	SH		SOLE		12685	0	0
LIBERTY PPTY TR	SH BEN INT	531172104	2223	44415	SH		SOLE		44415	0	0
LIFE STORAGE INC	COM	53223X107	1328	13966	SH		SOLE		13966	0	0
LIGAND PHARMACEUTICALS INC	COM NEW	53220K504	1137	9964	SH		SOLE		9964	0	0
LILLY ELI & CO	COM	532457108	13095	118197	SH		SOLE		118197	0	0
LIMELIGHT NETWORKS INC	COM	53261M104	32	11743	SH		SOLE		11743	0	0
LINCOLN ELEC HLDGS INC	COM	533900106	12529	152196	SH		SOLE		152196	0	0
LINCOLN NATL CORP IND	COM	534187109	3234	50175	SH		SOLE		50175	0	0
LINDE PLC	SHS	G5494J103	115441	574906	SH		SOLE		574906	0	0
LINDSAY CORP	COM	535555106	10280	125045	SH		SOLE		125045	0	0
LITHIA MTRS INC	CL A	536797103	371	3121	SH		SOLE		3121	0	0
LITTELFUSE INC	COM	537008104	368	2080	SH		SOLE		2080	0	0
LIVANOVA PLC	SHS	G5509L101	732	10176	SH		SOLE		10176	0	0
LIVE NATION ENTERTAINMENT IN	COM	538034109	781	11785	SH		SOLE		11785	0	0
LIVENT CORP	COM	53814L108	139	20024	SH		SOLE		20024	0	0
LIVEPERSON INC	COM	538146101	223	7957	SH		SOLE		7957	0	0
LIVERAMP HLDGS INC	COM	53815P108	630	12985	SH		SOLE		12985	0	0
LKQ CORP	COM	501889208	3244	121897	SH		SOLE		121897	0	0
LOCKHEED MARTIN CORP	COM	539830109	14545	40009	SH		SOLE		40009	0	0
LOEWS CORP	COM	540424108	6254	114404	SH		SOLE		114404	0	0
LOGMEIN INC	COM	54142L109	468	6350	SH		SOLE		6350	0	0
LOUISIANA PAC CORP	COM	546347105	668	25470	SH		SOLE		25470	0	0
LOWES COS INC	COM	548661107	83666	829116	SH		SOLE		829116	0	0
LPL FINL HLDGS INC	COM	50212V100	852	10442	SH		SOLE		10442	0	0
LTC PPTYS INC	COM	502175102	243	5312	SH		SOLE		5312	0	0
LULULEMON ATHLETICA INC	COM	550021109	12431	68979	SH		SOLE		68979	0	0
LUMENTUM HLDGS INC	COM	55024U109	962	18005	SH		SOLE		18005	0	0
LUMINEX CORP DEL	COM	55027E102	386	18721	SH		SOLE		18721	0	0
LYONDELLBASELL INDUSTRIES N	SHS - A -	N53745100	6509	75576	SH		SOLE		75576	0	0
M & T BK CORP	COM	55261F104	5562	32704	SH		SOLE		32704	0	0
M D C HLDGS INC	COM	552676108	216	6604	SH		SOLE		6604	0	0
MACERICH CO	COM	554382101	2496	74535	SH		SOLE		74535	0	0
MACK CALI RLTY CORP	COM	554489104	854	36665	SH		SOLE		36665	0	0
MACROGENICS INC	COM	556099109	312	18392	SH		SOLE		18392	0	0
MACYS INC	COM	55616P104	1451	67616	SH		SOLE		67616	0	0
MADDEN STEVEN LTD	COM	556269108	397	11693	SH		SOLE		11693	0	0
MAGELLAN HEALTH INC	COM NEW	559079207	287	3870	SH		SOLE		3870	0	0
MAGENTA THERAPEUTICS INC	COM	55910K108	188	12775	SH		SOLE		12775	0	0
MALLINCKRODT PUB LTD CO	SHS	G5785G107	161	17558	SH		SOLE		17558	0	0
MANHATTAN ASSOCS INC	COM	562750109	571	8232	SH		SOLE		8232	0	0
MANNKIND CORP	COM NEW	56400P706	83	72118	SH		SOLE		72118	0	0
MANPOWERGROUP INC	COM	56418H100	491	5086	SH		SOLE		5086	0	0
MANTECH INTL CORP	CL A	564563104	235	3567	SH		SOLE		3567	0	0
MARATHON OIL CORP	COM	565849106	1891	133070	SH		SOLE		133070	0	0
MARATHON PETE CORP	COM	56585A102	6023	107784	SH		SOLE		107784	0	0
MARKEL CORP	COM	570535104	1888	1733	SH		SOLE		1733	0	0
MARKETAXESS HLDGS INC	COM	57060D108	2475	7701	SH		SOLE		7701	0	0
MARRIOTT INTL INC NEW	CL A	571903202	32535	231910	SH		SOLE		231910	0	0
MARRIOTT VACTINS WORLDWID CO	COM	57164Y107	714	7406	SH		SOLE		7406	0	0
MARSH & MCLENNAN COS INC	COM	571748102	12202	122329	SH		SOLE		122329	0	0
MARTIN MARIETTA MATLS INC	COM	573284106	1604	6970	SH		SOLE		6970	0	0
MARVELL TECHNOLOGY GROUP LTD	ORD	G5876H105	1268	53134	SH		SOLE		53134	0	0
MASCO CORP	COM	574599106	1960	49961	SH		SOLE		49961	0	0
MASIMO CORP	COM	574795100	758	5093	SH		SOLE		5093	0	0
MASTEC INC	COM	576323109	616	11953	SH		SOLE		11953	0	0
MASTERCARD INC	CL A	57636Q104	58427	220872	SH		SOLE		220872	0	0
MATADOR RES CO	COM	576485205	501	25198	SH		SOLE		25198	0	0
MATSON INC	COM	57686G105	222	5716	SH		SOLE		5716	0	0
MATTEL INC	COM	577081102	322	28713	SH		SOLE		28713	0	0
MATTHEWS INTL CORP	CL A	577128101	10143	291048	SH		SOLE		291048	0	0
MAXIM INTEGRATED PRODS INC	COM	57772K101	12302	205645	SH		SOLE		205645	0	0
MAXIMUS INC	COM	577933104	880	12130	SH		SOLE		12130	0	0
MAXLINEAR INC	COM	57776J100	200	8550	SH		SOLE		8550	0	0
MCCORMICK & CO INC	COM NON VTG	579780206	88369	570088	SH		SOLE		570088	0	0
MCDERMOTT INTL INC	COM	580037703	324	33591	SH		SOLE		33591	0	0
MCDONALDS CORP	COM	580135101	137111	660269	SH		SOLE		660269	0	0
MCGRATH RENTCORP	COM	580589109	12105	194775	SH		SOLE		194775	0	0
MCKESSON CORP	COM	58155Q103	4349	32359	SH		SOLE		32359	0	0
MDU RES GROUP INC	COM	552690109	13403	519503	SH		SOLE		519503	0	0
MEDICAL PPTYS TRUST INC	COM	58463J304	2060	118126	SH		SOLE		118126	0	0
MEDICINES CO	COM	584688105	1180	32343	SH		SOLE		32343	0	0
MEDICINOVA INC	COM NEW	58468P206	162	16793	SH		SOLE		16793	0	0
MEDIDATA SOLUTIONS INC	COM	58471A105	1272	14053	SH		SOLE		14053	0	0
MEDIFAST INC	COM	58470H101	203	1581	SH		SOLE		1581	0	0
MEDNAX INC	COM	58502B106	228	9026	SH		SOLE		9026	0	0
MEDPACE HLDGS INC	COM	58506Q109	884	13507	SH		SOLE		13507	0	0
MEDTRONIC PLC	SHS	G5960L103	118948	1221353	SH		SOLE		1221353	0	0
MERCADOLIBRE INC	COM	58733R102	18899	30893	SH		SOLE		30893	0	0
